n,true_cv,true_M,cost_uniform_chebyshev,cost_uniform_bernstein_raw,cost_uniform_bernstein,cost_is,oracle_branch,break_even_cv
250,0.5,1.5,250,317.89904199288213,250,2214.1058280627603,uniform,1.4454903787656195
250,1.0,3.0,250,1165.629820640568,250,2214.1058280627603,uniform,1.4454903787656195
250,2.0,6.0,250,4450.5865879003495,250,2214.1058280627603,uniform,1.4454903787656195
250,3.0,9.0,250,9854.870301779347,250,2214.1058280627603,uniform,1.4454903787656195
500,0.5,1.5,500,317.89904199288213,317.89904199288213,2492.0578474672984,uniform,1.5335398907439084
500,1.0,3.0,500,1165.629820640568,500,2492.0578474672984,uniform,1.5335398907439084
500,2.0,6.0,500,4450.5865879003495,500,2492.0578474672984,uniform,1.5335398907439084
500,3.0,9.0,500,9854.870301779347,500,2492.0578474672984,uniform,1.5335398907439084
1000,0.5,1.5,1000,317.89904199288213,317.89904199288213,2770.0098668718365,uniform,1.6168013971733521
1000,1.0,3.0,1000,1165.629820640568,1000,2770.0098668718365,uniform,1.6168013971733521
1000,2.0,6.0,1000,4450.5865879003495,1000,2770.0098668718365,uniform,1.6168013971733521
1000,3.0,9.0,1000,9854.870301779347,1000,2770.0098668718365,uniform,1.6168013971733521
2000,0.5,1.5,2000,317.89904199288213,317.89904199288213,3047.961886276374,uniform,1.6959802237351023
2000,1.0,3.0,2000,1165.629820640568,1165.629820640568,3047.961886276374,uniform,1.6959802237351023
2000,2.0,6.0,2000,4450.5865879003495,2000,3047.961886276374,uniform,1.6959802237351023
2000,3.0,9.0,2000,9854.870301779347,2000,3047.961886276374,uniform,1.6959802237351023
5000,0.5,1.5,2499.9999999999995,317.89904199288213,317.89904199288213,3415.3944697579104,uniform,1.7952976120419162
5000,1.0,3.0,5000,1165.629820640568,1165.629820640568,3415.3944697579104,uniform,1.7952976120419162
5000,2.0,6.0,5000,4450.5865879003495,4450.5865879003495,3415.3944697579104,is,1.7952976120419162
5000,3.0,9.0,5000,9854.870301779347,5000,3415.3944697579104,is,1.7952976120419162
10000,0.5,1.5,2499.9999999999995,317.89904199288213,317.89904199288213,3693.346489162449,uniform,1.8669214437683956
10000,1.0,3.0,9999.999999999998,1165.629820640568,1165.629820640568,3693.346489162449,uniform,1.8669214437683956
10000,2.0,6.0,10000,4450.5865879003495,4450.5865879003495,3693.346489162449,is,1.8669214437683956
10000,3.0,9.0,10000,9854.870301779347,9854.870301779347,3693.346489162449,is,1.8669214437683956
20000,0.5,1.5,2499.9999999999995,317.89904199288213,317.89904199288213,3971.2985085669866,uniform,1.935897166329125
20000,1.0,3.0,9999.999999999998,1165.629820640568,1165.629820640568,3971.2985085669866,uniform,1.935897166329125
20000,2.0,6.0,20000,4450.5865879003495,4450.5865879003495,3971.2985085669866,is,1.935897166329125
20000,3.0,9.0,20000,9854.870301779347,9854.870301779347,3971.2985085669866,is,1.935897166329125
