n,true_cv,true_M,M_hat,tau,tau_name,s,branch_taken,oracle_decision,rel_error,in_borderline
1000,0.617599978331471,6.544485015745742,2.0123244171777577,1.5,1.5,10,uniform_exact,uniform,0.0,0
1000,0.617599978331471,6.544485015745742,2.0123244171777577,2.628260884878466,sqrt(log n),10,uniform_exact,uniform,0.0,0
1000,0.617599978331471,6.544485015745742,2.0123244171777577,3.0,3.0,10,uniform_exact,uniform,0.0,0
1000,0.617599978331471,6.544485015745742,3.2690887067792924,1.5,1.5,30,uniform_exact,uniform,0.0,0
1000,0.617599978331471,6.544485015745742,3.2690887067792924,2.628260884878466,sqrt(log n),30,uniform_exact,uniform,0.0,0
1000,0.617599978331471,6.544485015745742,3.2690887067792924,3.0,3.0,30,uniform_exact,uniform,0.0,0
1000,0.617599978331471,6.544485015745742,2.5907157283051494,1.5,1.5,50,uniform_exact,uniform,0.0,0
1000,0.617599978331471,6.544485015745742,2.5907157283051494,2.628260884878466,sqrt(log n),50,uniform_exact,uniform,0.0,0
1000,0.617599978331471,6.544485015745742,2.5907157283051494,3.0,3.0,50,uniform_exact,uniform,0.0,0
1000,0.617599978331471,6.544485015745742,3.292768957065315,1.5,1.5,100,uniform_exact,uniform,0.0,0
1000,0.617599978331471,6.544485015745742,3.292768957065315,2.628260884878466,sqrt(log n),100,uniform_exact,uniform,0.0,0
1000,0.617599978331471,6.544485015745742,3.292768957065315,3.0,3.0,100,uniform_exact,uniform,0.0,0
1000,0.7016203194983847,6.4257658382788225,1.8130291190600347,1.5,1.5,10,uniform_exact,uniform,0.0,0
1000,0.7016203194983847,6.4257658382788225,1.8130291190600347,2.628260884878466,sqrt(log n),10,uniform_exact,uniform,0.0,0
1000,0.7016203194983847,6.4257658382788225,1.8130291190600347,3.0,3.0,10,uniform_exact,uniform,0.0,0
1000,0.7016203194983847,6.4257658382788225,3.865161978575813,1.5,1.5,30,uniform_exact,uniform,0.0,0
1000,0.7016203194983847,6.4257658382788225,3.865161978575813,2.628260884878466,sqrt(log n),30,uniform_exact,uniform,0.0,0
1000,0.7016203194983847,6.4257658382788225,3.865161978575813,3.0,3.0,30,uniform_exact,uniform,0.0,0
1000,0.7016203194983847,6.4257658382788225,3.622119403834327,1.5,1.5,50,uniform_exact,uniform,0.0,0
1000,0.7016203194983847,6.4257658382788225,3.622119403834327,2.628260884878466,sqrt(log n),50,uniform_exact,uniform,0.0,0
1000,0.7016203194983847,6.4257658382788225,3.622119403834327,3.0,3.0,50,uniform_exact,uniform,0.0,0
1000,0.7016203194983847,6.4257658382788225,3.2843787213256572,1.5,1.5,100,uniform_exact,uniform,0.0,0
1000,0.7016203194983847,6.4257658382788225,3.2843787213256572,2.628260884878466,sqrt(log n),100,uniform_exact,uniform,0.0,0
1000,0.7016203194983847,6.4257658382788225,3.2843787213256572,3.0,3.0,100,uniform_exact,uniform,0.0,0
1000,0.633503586176026,5.578210996800821,1.8977848635947492,1.5,1.5,10,uniform_exact,uniform,0.0,0
1000,0.633503586176026,5.578210996800821,1.8977848635947492,2.628260884878466,sqrt(log n),10,uniform_exact,uniform,0.0,0
1000,0.633503586176026,5.578210996800821,1.8977848635947492,3.0,3.0,10,uniform_exact,uniform,0.0,0
1000,0.633503586176026,5.578210996800821,2.632078717272906,1.5,1.5,30,uniform_exact,uniform,0.0,0
1000,0.633503586176026,5.578210996800821,2.632078717272906,2.628260884878466,sqrt(log n),30,uniform_exact,uniform,0.0,0
1000,0.633503586176026,5.578210996800821,2.632078717272906,3.0,3.0,30,uniform_exact,uniform,0.0,0
1000,0.633503586176026,5.578210996800821,2.7761108587446937,1.5,1.5,50,uniform_exact,uniform,0.0,0
1000,0.633503586176026,5.578210996800821,2.7761108587446937,2.628260884878466,sqrt(log n),50,uniform_exact,uniform,0.0,0
1000,0.633503586176026,5.578210996800821,2.7761108587446937,3.0,3.0,50,uniform_exact,uniform,0.0,0
1000,0.633503586176026,5.578210996800821,2.908737888262764,1.5,1.5,100,uniform_exact,uniform,0.0,0
1000,0.633503586176026,5.578210996800821,2.908737888262764,2.628260884878466,sqrt(log n),100,uniform_exact,uniform,0.0,0
1000,0.633503586176026,5.578210996800821,2.908737888262764,3.0,3.0,100,uniform_exact,uniform,0.0,0
1000,0.6607087487078306,6.077985671873188,1.5811567541016927,1.5,1.5,10,uniform_exact,uniform,0.0,0
1000,0.6607087487078306,6.077985671873188,1.5811567541016927,2.628260884878466,sqrt(log n),10,uniform_exact,uniform,0.0,0
1000,0.6607087487078306,6.077985671873188,1.5811567541016927,3.0,3.0,10,uniform_exact,uniform,0.0,0
1000,0.6607087487078306,6.077985671873188,2.798195485041038,1.5,1.5,30,uniform_exact,uniform,0.0,0
1000,0.6607087487078306,6.077985671873188,2.798195485041038,2.628260884878466,sqrt(log n),30,uniform_exact,uniform,0.0,0
1000,0.6607087487078306,6.077985671873188,2.798195485041038,3.0,3.0,30,uniform_exact,uniform,0.0,0
1000,0.6607087487078306,6.077985671873188,3.7790097690437294,1.5,1.5,50,uniform_exact,uniform,0.0,0
1000,0.6607087487078306,6.077985671873188,3.7790097690437294,2.628260884878466,sqrt(log n),50,uniform_exact,uniform,0.0,0
1000,0.6607087487078306,6.077985671873188,3.7790097690437294,3.0,3.0,50,uniform_exact,uniform,0.0,0
1000,0.6607087487078306,6.077985671873188,2.626778456331656,1.5,1.5,100,uniform_exact,uniform,0.0,0
1000,0.6607087487078306,6.077985671873188,2.626778456331656,2.628260884878466,sqrt(log n),100,uniform_exact,uniform,0.0,0
1000,0.6607087487078306,6.077985671873188,2.626778456331656,3.0,3.0,100,uniform_exact,uniform,0.0,0
1000,0.6504739835154975,5.5695015501111715,2.7762449781991627,1.5,1.5,10,uniform_exact,uniform,0.0,0
1000,0.6504739835154975,5.5695015501111715,2.7762449781991627,2.628260884878466,sqrt(log n),10,uniform_exact,uniform,0.0,0
