s,tau_name,tau,accuracy,fp_rate,fn_rate,n_trials,accuracy_border,fp_rate_border,fn_rate_border,n_borderline
10,1.5,1.5,0.7962962962962963,0.14965986394557823,0.7333333333333333,162,0.4666666666666667,0.4,0.8,30
10,3.0,3.0,0.9074074074074074,0.0,1.0,162,0.6666666666666666,0.0,1.0,30
10,sqrt(log n),2.628260884878466,0.9074074074074074,0.0,1.0,162,0.6666666666666666,0.0,1.0,30
30,1.5,1.5,0.7839506172839507,0.20408163265306123,0.3333333333333333,162,0.4,0.65,0.5,30
30,3.0,3.0,0.9135802469135802,0.0,0.9333333333333333,162,0.7,0.0,0.9,30
30,sqrt(log n),2.628260884878466,0.8950617283950617,0.027210884353741496,0.8666666666666667,162,0.6,0.2,0.8,30
50,1.5,1.5,0.7592592592592593,0.23129251700680273,0.3333333333333333,162,0.4,0.75,0.3,30
50,3.0,3.0,0.9320987654320988,0.006802721088435374,0.6666666666666666,162,0.7666666666666667,0.05,0.6,30
50,sqrt(log n),2.628260884878466,0.9135802469135802,0.04081632653061224,0.5333333333333333,162,0.6666666666666666,0.3,0.4,30
100,1.5,1.5,0.7839506172839507,0.23129251700680273,0.06666666666666667,162,0.3333333333333333,0.95,0.1,30
100,3.0,3.0,0.9382716049382716,0.0,0.6666666666666666,162,0.8333333333333334,0.0,0.5,30
100,sqrt(log n),2.628260884878466,0.9444444444444444,0.013605442176870748,0.4666666666666667,162,0.8666666666666667,0.1,0.2,30
